Starttime - 2009-11-30 20:40:39.640000
581 : 169071 : 16
582 : 169653 : 16
583 : 170236 : 24
584 : 170820 : 72
585 : 171405 : 24
586 : 171991 : 4
587 : 172578 : 24
588 : 173166 : 48
589 : 173755 : 16
590 : 174345 : 16
591 : 174936 : 32
592 : 175528 : 16
593 : 176121 : 16
594 : 176715 : 64
595 : 177310 : 32
596 : 177906 : 16
597 : 178503 : 16
598 : 179101 : 8
599 : 179700 : 36
600 : 180300 : 36
601 : 180901 : 8
602 : 181503 : 24
603 : 182106 : 24
604 : 182710 : 24
605 : 183315 : 24
606 : 183921 : 8
607 : 184528 : 20
608 : 185136 : 80
609 : 185745 : 32
610 : 186355 : 16
611 : 186966 : 48
612 : 187578 : 24
613 : 188191 : 4
614 : 188805 : 16
615 : 189420 : 96
616 : 190036 : 24
617 : 190653 : 8
618 : 191271 : 8
619 : 191890 : 16
620 : 192510 : 64
621 : 193131 : 16
622 : 193753 : 8
623 : 194376 : 64
624 : 195000 : 80
625 : 195625 : 10
626 : 196251 : 16
627 : 196878 : 32
628 : 197506 : 16
629 : 198135 : 48
630 : 198765 : 24
631 : 199396 : 12
632 : 200028 : 24
633 : 200661 : 8
634 : 201295 : 8
635 : 201930 : 32
636 : 202566 : 48
637 : 203203 : 24
638 : 203841 : 24
639 : 204480 : 84
640 : 205120 : 28
641 : 205761 : 8
642 : 206403 : 8
643 : 207046 : 16
644 : 207690 : 64
645 : 208335 : 32
646 : 208981 : 8
647 : 209628 : 30
648 : 210276 : 60
649 : 210925 : 24
650 : 211575 : 48
651 : 212226 : 32
652 : 212878 : 8
653 : 213531 : 8
654 : 214185 : 16
655 : 214840 : 32
656 : 215496 : 48
657 : 216153 : 24
658 : 216811 : 8
659 : 217470 : 32
660 : 218130 : 32
661 : 218791 : 4
662 : 219453 : 16
663 : 220116 : 48
664 : 220780 : 48
665 : 221445 : 48
666 : 222111 : 24
667 : 222778 : 16
668 : 223446 : 16
669 : 224115 : 16
670 : 224785 : 16
671 : 225456 : 80
672 : 226128 : 40
673 : 226801 : 4
674 : 227475 : 24
675 : 228150 : 72
676 : 228826 : 12
677 : 229503 : 8
678 : 230181 : 16
679 : 230860 : 48
680 : 231540 : 48
681 : 232221 : 16
682 : 232903 : 8
683 : 233586 : 24
684 : 234270 : 48
685 : 234955 : 16
686 : 235641 : 16
687 : 236328 : 32
688 : 237016 : 32
689 : 237705 : 32
690 : 238395 : 16
691 : 239086 : 8
692 : 239778 : 48
693 : 240471 : 24
694 : 241165 : 8
695 : 241860 : 48
696 : 242556 : 48
697 : 243253 : 8
698 : 243951 : 8
699 : 244650 : 48
700 : 245350 : 24
701 : 246051 : 16
702 : 246753 : 32
703 : 247456 : 48
704 : 248160 : 96
705 : 248865 : 16
706 : 249571 : 8
707 : 250278 : 32
708 : 250986 : 16
709 : 251695 : 8
710 : 252405 : 24
711 : 253116 : 36
712 : 253828 : 24
713 : 254541 : 32
714 : 255255 : 64
715 : 255970 : 32
716 : 256686 : 16
717 : 257403 : 8
718 : 258121 : 4
719 : 258840 : 48
720 : 259560 : 96
721 : 260281 : 12
722 : 261003 : 12
723 : 261726 : 16
724 : 262450 : 24
725 : 263175 : 36
726 : 263901 : 12
727 : 264628 : 24
728 : 265356 : 84
729 : 266085 : 28
730 : 266815 : 16
731 : 267546 : 32
732 : 268278 : 16
733 : 269011 : 4
734 : 269745 : 24
735 : 270480 : 120
736 : 271216 : 40
737 : 271953 : 24
738 : 272691 : 12
739 : 273430 : 16
740 : 274170 : 64
741 : 274911 : 32
742 : 275653 : 8
743 : 276396 : 24
744 : 277140 : 48
745 : 277885 : 8
746 : 278631 : 12
747 : 279378 : 48
748 : 280126 : 32
749 : 280875 : 32
750 : 281625 : 16
751 : 282376 : 16
752 : 283128 : 32
753 : 283881 : 16
754 : 284635 : 16
755 : 285390 : 64
756 : 286146 : 32
757 : 286903 : 4
758 : 287661 : 16
759 : 288420 : 96
760 : 289180 : 24
761 : 289941 : 8
762 : 290703 : 16
763 : 291466 : 16
764 : 292230 : 48
765 : 292995 : 24
766 : 293761 : 8
767 : 294528 : 64
768 : 295296 : 32
769 : 296065 : 16
770 : 296835 : 32
771 : 297606 : 16
772 : 298378 : 8
773 : 299151 : 12
774 : 299925 : 36
775 : 300700 : 36
776 : 301476 : 48
777 : 302253 : 16
778 : 303031 : 8
779 : 303810 : 64
780 : 304590 : 64
781 : 305371 : 16
782 : 306153 : 32
783 : 306936 : 96
784 : 307720 : 48
785 : 308505 : 16
786 : 309291 : 8
787 : 310078 : 8
788 : 310866 : 16
789 : 311655 : 16
790 : 312445 : 16
791 : 313236 : 72
792 : 314028 : 72
793 : 314821 : 8
794 : 315615 : 16
795 : 316410 : 32
796 : 317206 : 8
797 : 318003 : 16
798 : 318801 : 32
799 : 319600 : 60
800 : 320400 : 90
801 : 321201 : 12
802 : 322003 : 8
803 : 322806 : 32
804 : 323610 : 64
805 : 324415 : 32
806 : 325221 : 16
807 : 326028 : 24
808 : 326836 : 12
809 : 327645 : 20
810 : 328455 : 20
811 : 329266 : 16
812 : 330078 : 32
813 : 330891 : 16
814 : 331705 : 16
815 : 332520 : 64
816 : 333336 : 64
817 : 334153 : 8
818 : 334971 : 24
819 : 335790 : 96
820 : 336610 : 16
821 : 337431 : 8
822 : 338253 : 8
823 : 339076 : 12
824 : 339900 : 72
825 : 340725 : 48
826 : 341551 : 8
827 : 342378 : 24
828 : 343206 : 24
829 : 344035 : 8
830 : 344865 : 16
831 : 345696 : 48
832 : 346528 : 72
833 : 347361 : 24
834 : 348195 : 16
835 : 349030 : 32
836 : 349866 : 64
837 : 350703 : 16
838 : 351541 : 4
839 : 352380 : 48
840 : 353220 : 72
841 : 354061 : 6
842 : 354903 : 8
843 : 355746 : 16
844 : 356590 : 24
845 : 357435 : 36
846 : 358281 : 36
847 : 359128 : 48
848 : 359976 : 32
849 : 360825 : 24
850 : 361675 : 24
851 : 362526 : 32
852 : 363378 : 16
853 : 364231 : 8
854 : 365085 : 48
855 : 365940 : 72
856 : 366796 : 12
857 : 367653 : 16
858 : 368511 : 16
859 : 369370 : 16
860 : 370230 : 64
861 : 371091 : 16
862 : 371953 : 4
863 : 372816 : 40
864 : 373680 : 80
865 : 374545 : 8
866 : 375411 : 12
867 : 376278 : 48
868 : 377146 : 32
869 : 378015 : 32
870 : 378885 : 32
871 : 379756 : 24
872 : 380628 : 36
873 : 381501 : 24
874 : 382375 : 32
875 : 383250 : 64
876 : 384126 : 16
